route_id,direction,order,stop_name,time_to_next,direction_name
270,2,79,捷運南港站,2,往中華科技大學
270,2,80,台北生技園區,1,往中華科技大學
270,2,81,國家文官學院,1,往中華科技大學
270,2,82,誠正國中,1,往中華科技大學
270,2,83,南港水廠,1,往中華科技大學
270,2,84,圓拱橋,1,往中華科技大學
270,2,85,中研新村,1,往中華科技大學
270,2,86,中研院,1,往中華科技大學
270,2,87,胡適公園,2,往中華科技大學
270,2,88,九如里一,1,往中華科技大學
270,2,89,凌雲五村,1,往中華科技大學
270,2,90,九如里二,1,往中華科技大學
270,2,91,凌雲站,1,往中華科技大學
270,2,92,中華科技大學（正門）,1,往中華科技大學
270,2,93,中華科技大學,1,往中華科技大學
,,,,,
270區,1,1,中華科技大學（正門）,0,往聯合報
270區,1,2,中華科技大學,0,往聯合報
270區,1,3,軍人公墓,1,往聯合報
270區,1,4,凌雲站,1,往聯合報
270區,1,5,九如里二,0,往聯合報
270區,1,6,凌雲五村,1,往聯合報
270區,1,7,九如里一,1,往聯合報
270區,1,8,胡適公園,2,往聯合報
270區,1,9,中研院,1,往聯合報
270區,1,10,中研新村,1,往聯合報
270區,1,11,圓拱橋,1,往聯合報
270區,1,12,南港水廠,1,往聯合報
270區,1,13,誠正國中,1,往聯合報
270區,1,14,國家文官學院,2,往聯合報
270區,1,15,台北生技園區,0,往聯合報
270區,1,16,捷運南港站,2,往聯合報
270區,1,17,南港機廠,2,往聯合報
270區,1,18,捷運昆陽站,1,往聯合報
270區,1,19,陸軍後勤指揮部,2,往聯合報
270區,1,20,國華新村,1,往聯合報
270區,1,21,聯合醫院忠孝院區,1,往聯合報
270區,1,22,捷運後山埤站（忠孝）,1,往聯合報
270區,1,23,春光公園,2,往聯合報
270區,1,24,永春里（忠孝）,1,往聯合報
270區,1,25,捷運永春站（忠孝）,1,往聯合報
270區,1,26,市立工農,2,往聯合報
270區,1,27,消防局（忠孝）,1,往聯合報
270區,1,28,捷運市政府站,1,往聯合報
270區,1,29,聯合報,2,往聯合報
270區,2,30,捷運市政府站,11,往中華科技大學
270區,2,31,市立工農,1,往中華科技大學
270區,2,32,捷運永春站（忠孝）,1,往中華科技大學
270區,2,33,永春里（忠孝）,1,往中華科技大學
270區,2,34,春光公園,2,往中華科技大學
